visit_time,title,url,profile
2026-09-13 08:08:58,GH-200: Automate your workflow with GitHub Actions - YouTube,https://www.youtube.com/playlist?list=PLahhVEj9XNTd5N_seZDoRXVIn6N1qAp-_,Profile 1
2026-09-13 08:08:58,GH-200: Automate your workflow with GitHub Actions - YouTube,https://aka.ms/GH-200onYouTube,Profile 1
2026-09-13 08:08:58,GH-200: Automate your workflow with GitHub Actions - YouTube,https://www.youtube.com/redirect?event=video_description&redir_token=QUM4Zm9rUzduNnJGUC11SEdaQWxqZ0FkZzM2Q3xBTl9pYzRlNXQwWEZ3RS1DWkpOdm5yNVQ3V3U5TFJselVvN0ktR3pZSmVvektwLS10ZmxhUkpQbHpmanZIazEza2xjVVNjX0JaTjRWWGtKV0xhc09uQVUxN0dWVS1LSlVhdGt2&q=https%3A%2F%2Faka.ms%2FGH-200onYouTube&v=8m9JBtGFMp8,Profile 1
2026-09-13 08:05:46,コース紹介 | GH-200 | エピソード1 - YouTube,https://www.youtube.com/watch?v=8m9JBtGFMp8&list=PLahhVEj9XNTd5N_seZDoRXVIn6N1qAp-_&index=2,Profile 1
2026-09-13 08:02:12,Gemini Notebook,https://notebook.google.com/notebook/969c9016-cc7c-4469-8f7d-39bf0cb2e48b,Profile 1
2026-09-13 08:02:09,Gemini Notebook,https://notebook.google.com/notebook/969c9016-cc7c-4469-8f7d-39bf0cb2e48b?addSource=true,Profile 1
2026-09-13 08:00:49,コースプレビュー | GH-200 | GitHub Actionsによるワークフローの自動化 - YouTube,https://www.youtube.com/watch?v=wuHiemCckNo&list=PLahhVEj9XNTd5N_seZDoRXVIn6N1qAp-_,Profile 1
2026-09-13 08:00:45,gh-200 - YouTube,https://www.youtube.com/results?search_query=gh-200,Profile 1
2026-09-13 08:00:45,YouTube,https://www.youtube.com/?app=desktop&hl=ja,Profile 1
2026-09-13 08:00:38,YouTube,https://www.youtube.com/?app=desktop&hl=ja,Profile 1
2026-09-13 08:00:20,GitHub Actions - Certifications | Microsoft Learn,https://learn.microsoft.com/ja-jp/credentials/certifications/github-actions/?practice-assessment-type=certification,Profile 1
2026-09-13 08:00:20,GitHub Actions - Certifications | Microsoft Learn,https://learn.microsoft.com/ja-jp/credentials/certifications/github-actions/,Profile 1
2026-09-13 08:00:15,GitHub CI/CD実践ガイド――持続可能なソフトウェア開発を支えるGitHub Actionsの設計と運用 (エンジニア選書) | 野村 友規 |本 | 通販 | Amazon,https://www.amazon.co.jp/GitHub-CI-CD%E5%AE%9F%E8%B7%B5%E3%82%AC%E3%82%A4%E3%83%89%E2%80%95%E2%80%95%E6%8C%81%E7%B6%9A%E5%8F%AF%E8%83%BD%E3%81%AA%E3%82%BD%E3%83%95%E3%83%88%E3%82%A6%E3%82%A7%E3%82%A2%E9%96%8B%E7%99%BA%E3%82%92%E6%94%AF%E3%81%88%E3%82%8BGitHub-Actions%E3%81%AE%E8%A8%AD%E8%A8%88%E3%81%A8%E9%81%8B%E7%94%A8-%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%E9%81%B8%E6%9B%B8/dp/4297141736?&linkCode=sl1&tag=akitainuoto-22&linkId=77a56e07b7978fa880eea4a3e1f9992b&language=ja_JP&ref_=as_li_ss_tl,Profile 1
2026-09-13 08:00:15,GitHub CI/CD実践ガイド――持続可能なソフトウェア開発を支えるGitHub Actionsの設計と運用 (エンジニア選書) | 野村 友規 |本 | 通販 | Amazon,https://amzn.to/3Kpb1en,Profile 1
2026-09-13 08:00:08,マイラーニング | Udemy,https://www.udemy.com/home/my-courses/learning/?p=2,Profile 1
2026-09-13 08:00:03,Course: 【2026年最新版】AWS認定AIプラクティショナー（AIF-01）模擬問題集 | Udemy,https://www.udemy.com/course/awsaiaif-01/learn/quiz/6905375#overview,Profile 1
